developer_id,name,country,founding_year,size,is_closed,continent
1,!CyberApex (SkagoGames),France,1976,indie,False,Europe
2,&y,USA,1983,indie,False,America
3,((no-end-parens Studio,Canada,2009,indie,False,America
4,(주)펀웨이브,Japan,1976,indie,False,Asia
5,.M.Y.W.,USA,2013,indie,True,America
6,.ez Games,USA,2016,indie,False,America
7,0 Deer Soft,UK,2003,mid,False,Europe
8,0-Game Studios,Russia,1975,indie,False,Europe
9,1 Look Games,USA,2002,indie,False,America
10,1 Simple Game,USA,1996,indie,False,America
11,1 w programmer,UK,1997,indie,False,Europe
12,10 games studios,France,1977,mid,False,Europe
13,100 Cats,Germany,1999,mid,False,Europe
14,1000-REKA,USA,2015,indie,False,America
15,10101 Software,Poland,2011,indie,False,Europe
16,1029studio,USA,2017,indie,False,America
17,1047 Games,USA,1980,indie,False,America
18,10tons Ltd,Poland,1999,aaa,False,Europe
19,10x10 Room,France,1998,indie,False,Europe
20,11 bit studios,UK,2017,indie,False,Europe
21,1122 Industries,Sweden,2016,indie,False,Europe
22,11Sheep,France,2009,indie,False,Europe
23,1337 Game Design,USA,1999,indie,False,America
24,160dev,Sweden,2019,indie,False,Europe
25,17-BIT,Canada,1978,indie,False,America
26,1812 Productions (PC Port),USA,1995,indie,False,America
27,1984pxls,USA,2011,indie,False,America
28,1MP,UK,2016,indie,False,Europe
29,1kcal,Sweden,2016,indie,False,Europe
30,2 Cubs Studio,USA,1990,indie,False,America
31,2 Devi LLC,Germany,2022,indie,False,Europe
32,2 Hit Studio,Sweden,2000,indie,False,Europe
33,2112Games,Australia,1983,indie,False,Oceania
34,221GAMES,USA,1978,indie,False,America
35,23:23 Team,USA,1985,indie,False,America
36,2645Interactive,Japan,1979,indie,False,Asia
37,26horses,Germany,2004,indie,False,Europe
38,29Ninja,Australia,1975,indie,False,Oceania
39,29x,USA,2009,indie,False,America
40,2A T.E.,Russia,1996,indie,False,Europe
41,2Bit Studios,Japan,2004,indie,True,Asia
42,2Chance Projects,Canada,2021,indie,False,America
43,2D Heroes,Japan,1986,indie,False,Asia
44,2Hyper,USA,2015,indie,False,America
45,2K Australia,France,2013,mid,False,Europe
46,2K Boston,UK,1985,indie,False,Europe
47,2K Czech,Russia,2008,indie,False,Europe
48,2KG GAMING,Germany,2006,indie,True,Europe
49,2Z,Sweden,1994,indie,False,Europe
50,2ev1l,USA,2011,mid,False,America
51,2humanstudiowo,USA,2006,indie,False,America
52,2nd Best Games,Australia,2009,indie,False,Oceania
53,2ndUp Studios,USA,2005,indie,False,America
54,2nek,USA,2008,indie,False,America
55,2xDal,Japan,1988,indie,False,Asia
56,2xN Studios,Russia,2019,indie,False,Europe
57,3 Feet From Gold Games,UK,2017,indie,False,Europe
58,3 Gnomes Games,Japan,2008,indie,False,Asia
59,3 Sprockets,USA,1979,mid,False,America
60,3000AD,Germany,1989,mid,False,Europe
61,3000Studio,USA,2020,indie,False,America
62,333Ba,USA,1977,indie,False,America
63,3D FACTORY,USA,1990,indie,False,America
64,3D Realms,Japan,2009,indie,False,Asia
65,3D Talo Finland Ltd.,Sweden,2011,indie,False,Europe
66,3DI LLC,USA,2005,indie,False,America
67,3DIQ,USA,1981,indie,False,America
68,3Division,UK,2001,indie,False,Europe
69,3MA Studios,Canada,2018,indie,False,America
70,3Mind Games,France,1978,indie,False,Europe
71,3dm_live_wallpapers,UK,1981,mid,False,Europe
72,3lb Games,USA,2003,indie,False,America
73,3rd eye project,USA,2004,indie,False,America
74,3y3.net,Sweden,2003,indie,False,Europe
75,4 Gladiators Studio,Poland,1981,indie,False,Europe
76,430Games,Australia,1975,indie,False,Oceania
77,43N34S,Sweden,1990,indie,False,Europe
78,480 Games,Japan,1988,indie,False,Asia
79,"4DAYS LAB Co., Ltd.",Sweden,1985,indie,False,Europe
80,4Friends Games,Australia,1991,indie,False,Oceania
81,4H StudioLab,Russia,1993,indie,False,Europe
82,4th Foundation,Australia,2010,indie,False,Oceania
83,5 Hours of Sleep,Japan,1987,indie,False,Asia
84,5K studios,Australia,2012,indie,False,Oceania
85,5minlab Corp.,USA,1995,indie,False,America
86,5pb,Germany,2007,indie,False,Europe
87,616 GAMES,Germany,1978,indie,False,Europe
88,626 Interactive,USA,1986,indie,False,America
89,6Zeri,USA,1990,indie,False,America
90,727 Not Hound,Australia,2011,indie,False,Oceania
91,"74 Ninjas, LLC",Germany,2014,indie,False,Europe
92,74games,France,2011,indie,False,Europe
93,7Games,Sweden,1988,indie,False,Europe
94,7Levels,UK,1991,indie,False,Europe
95,"8-Bit Productions, LLC",Canada,1994,mid,False,America
96,8BitSkull,Sweden,1979,indie,True,Europe
97,8bit,France,2011,indie,False,Europe
98,8floor,USA,1988,aaa,False,America
99,96Brothers,USA,1997,indie,False,America
100,98 INTERACTIVE,Sweden,1998,indie,False,Europe
101,9gyar,Japan,2009,indie,False,Asia
102,@CarlosGameDev,France,2016,indie,False,Europe
103,A Few Dragons,France,2010,indie,False,Europe
104,A Gramps Thing,France,1983,indie,False,Europe
105,A Little More Games,Sweden,2022,indie,False,Europe
106,A Maniacal Game LP,USA,2013,indie,False,America
107,A Memory of Eternity,UK,2018,indie,False,Europe
108,A Nostru,USA,2006,mid,False,America
109,A Shell in the Pit,Sweden,1978,indie,False,Europe
110,A. Hagen,Japan,1992,indie,True,Asia
111,A.StrangeDev,UK,1983,indie,False,Europe
112,A9,USA,2022,indie,False,America
113,A9019,Canada,2010,indie,True,America
114,A:TroY,USA,2019,indie,False,America
115,AAD Productions,Germany,1998,indie,False,Europe
116,AB SOFT,USA,1983,indie,True,America
117,ACQUIRE Corp.,UK,1977,mid,False,Europe
118,AC_GameDev,USA,1990,mid,False,America
119,ACreativeGame Studio,UK,2010,indie,False,Europe
120,ADELTA,UK,2014,indie,False,Europe
121,AECRNIA,Sweden,1990,mid,False,Europe
122,AEL Entertainment,Australia,1986,indie,False,Oceania
123,AFBIK Studio,USA,2022,indie,False,America
124,AG media,Russia,2001,indie,False,Europe
125,AGO Games,Poland,1990,indie,False,Europe
126,AHEARTFULOFGAMES,Russia,1981,indie,False,Europe
127,AHui.Game,USA,2005,indie,False,America
128,AIHASTO,Poland,2004,indie,False,Europe
129,AIKUN,Poland,1989,indie,False,Europe
130,AIO_Games,France,2000,indie,False,Europe
131,AIXLAB,Poland,1992,indie,False,Europe
132,AJ Kolenc,Japan,2018,indie,False,Asia
133,AK Studio,Germany,1976,indie,False,Europe
134,ALFINA GAMERS,Australia,1986,indie,False,Oceania
135,ALI AL-ABBOODI,Australia,1977,indie,False,Oceania
136,ALICE IN DISSONANCE,Japan,2021,indie,False,Asia
137,ALIEN studio,Japan,2007,indie,False,Asia
138,ALOOF PROJECT,Sweden,1987,indie,False,Europe
139,ALPHY,Canada,1975,mid,False,America
140,ALVION Inc.,Russia,2018,indie,False,Europe
141,ALcot,Russia,2017,indie,False,Europe
142,AMAX Interactive,Japan,2017,mid,False,Asia
143,AMG GAMES,France,2017,mid,False,Europe
144,AMMC,Canada,1994,indie,False,America
145,AMPLITUDE Studios,France,1995,indie,False,Europe
146,"AN GAMES Co.,Ltd",USA,1983,indie,False,America
147,ANAGRAM,France,1999,indie,False,Europe
148,ANAS ASKARI,Sweden,2014,indie,False,Europe
149,ANEMONA GAMES,UK,1975,indie,False,Europe
150,ANFWorks,USA,2012,indie,False,America
151,AO Games,UK,2003,indie,False,Europe
152,APGames,USA,2005,indie,False,America
153,APOGAMES,Australia,2022,indie,False,Oceania
154,AQUAPLUS,USA,2007,indie,False,America
155,ARANJA GAMES,France,1980,indie,False,Europe
156,ARCSTONE GAMES,Russia,2018,indie,False,Europe
157,ARES Inc.,Russia,1984,indie,True,Europe
158,ARGames,USA,2005,indie,False,America
159,ART2.team,Russia,2004,indie,False,Europe
160,ARTWARE Multimedia,France,1987,indie,False,Europe
161,ARVORE,UK,2000,indie,False,Europe
162,ARZEST Corp.,France,1975,indie,False,Europe
163,ASMR Game Labs,Poland,1981,indie,False,Europe
164,ASOBI,USA,2019,indie,False,America
165,ASTRO PORT,USA,1990,indie,False,America
166,ATLUS,USA,1983,mid,False,America
167,ATOMIC AGE CULTURE,France,2010,indie,False,Europe
168,AURORA STUDIO,Australia,2003,indie,False,Oceania
169,AUSTERK PRODUCTIONS,Canada,2007,indie,False,America
170,AVAKE,Sweden,2003,indie,False,Europe
171,AVANTGARDE,Russia,2005,indie,False,Europe
172,AVI Games,Russia,2015,indie,False,Europe
173,AX-GAME,Russia,2006,indie,False,Europe
174,AXR-STUDIOS,USA,1979,indie,False,America
175,AZARASHI SOFTWARE,USA,1996,mid,False,America
176,Aardman Animations,Germany,1983,indie,False,Europe
177,Aarjvark,UK,1984,indie,False,Europe
178,Aaron Bales,USA,2001,indie,False,America
179,Aaron Bruno,Japan,1978,indie,False,Asia
180,Aaron Cochrane,Japan,2012,indie,False,Asia
181,Aaron Dodo,USA,2011,mid,False,America
182,Aaron Kunkle,USA,1997,indie,False,America
183,Aaron Steed,UK,2001,indie,False,Europe
184,Abbey Games,Canada,2013,indie,False,America
185,Abdulaziz Mjawer,Japan,1992,indie,False,Asia
186,Abdulkerim YILDIRIM,USA,1996,indie,False,America
187,Abdullah,Russia,2021,indie,False,Europe
188,Abdullah Al Bajjali,Japan,1983,indie,False,Asia
189,Abdulrahman Alshahrani,Germany,2000,indie,False,Europe
190,Abiding Bridge,France,1980,indie,False,Europe
191,Abii Studio Ltd.,USA,2004,indie,False,America
192,Abnormal Software,USA,1995,indie,False,America
193,Abolish,UK,1999,indie,False,Europe
194,AboveTuna,Australia,2001,indie,False,Oceania
195,Absolutely Cookage,USA,1976,indie,False,America
196,Absorb Reality,USA,1997,indie,False,America
197,Absorbed Studios,USA,2016,indie,True,America
198,AbstrCAT,USA,1990,indie,False,America
199,Abstract Dream Games,USA,1984,indie,False,America
200,Abstract Software Inc.,Japan,1982,indie,False,Asia
201,AbstractArt,USA,2019,mid,False,America
202,Abstraction Games,UK,2013,indie,False,Europe
203,AbsurdPoncho,Russia,1982,indie,False,Europe
204,Abyid Studio,USA,1994,indie,False,America
205,Abylight Barcelona,USA,1994,indie,False,America
206,Abyscon,Sweden,1999,mid,False,Europe
207,Abyss,Canada,1979,indie,False,America
208,Accenthd,Poland,1990,indie,False,Europe
209,Accessed None,Russia,2018,indie,False,Europe
210,Accolade,USA,2011,indie,False,America
211,Ace X,UK,2002,indie,False,Europe
212,Acerola,USA,2016,mid,False,America
213,Acetate123,Poland,2006,indie,False,Europe
214,Achisoft,Australia,2015,indie,False,Oceania
215,Achpile,Japan,1984,mid,False,Asia
216,Acke Hallgren,Canada,2016,indie,False,America
217,"Acme Nerd Games, LLC",Russia,2009,indie,False,Europe
218,Acram Digital,Japan,2021,indie,False,Asia
219,Action Square(STUDIO HG),UK,1990,indie,False,Europe
220,Active Games,USA,2003,indie,False,America
221,Active Up Games,Japan,2014,indie,False,Asia
222,Activision Shanghai,UK,2006,indie,False,Europe
223,Actual Nerds,USA,1988,indie,False,America
224,Actuator Games,USA,1992,indie,False,America
225,Acutis Games,Canada,1992,indie,False,America
226,Adage Games,Japan,1987,indie,False,Asia
227,Adam Avramov,Canada,2006,indie,False,America
228,Adam Bradley,USA,2005,mid,False,America
229,Adam Creations,Japan,1976,indie,False,Asia
230,Adam DeLease,USA,2019,indie,False,America
231,Adam Edwards,France,1998,indie,False,Europe
232,Adam Horvath,Germany,2002,indie,False,Europe
233,Adam Mowery,Germany,1997,indie,False,Europe
234,Adam Soutar,USA,1991,indie,False,America
235,Adam Stępiński,Canada,1995,mid,False,America
236,Adam Thompson,Germany,2019,indie,False,Europe
237,Adamsauce,USA,2005,indie,False,America
238,Adamvision Studios,Germany,2008,mid,False,Europe
239,Addictive 247 Games,Australia,1987,indie,False,Oceania
240,Adeeemmm,UK,1994,indie,True,Europe
241,Adelante LTD,Germany,1992,indie,True,Europe
242,Adem Kaya RockAKGames,USA,1993,indie,False,America
243,Adham Jaber,USA,2006,indie,False,America
244,Admia,USA,1993,indie,False,America
245,Adriaan de Jongh,Japan,1986,indie,False,Asia
246,Adrian Phuong,USA,2005,indie,False,America
