app_id,platform_id
2020420,1
2020420,3
847550,1
2941830,1
2941830,3
1092150,1
1092150,2
1092150,3
65560,1
65560,2
65560,5
1982680,1
407680,1
407680,4
536950,1
2885620,1
2591070,1
623590,1
623590,3
1754790,1
1754790,2
1754790,4
1417640,1
506900,1
506900,2
1412560,1
1412560,2
1401320,1
1758080,1
1758080,5
836450,1
836450,2
1618020,1
1022280,1
2928790,1
3180450,1
3180450,2
1038100,1
1038100,2
1038100,3
1038100,4
1495130,1
1495130,4
3243990,1
740560,1
740560,2
409510,1
409510,2
409510,4
1147090,1
2830900,1
2830900,3
2791650,1
2791650,2
2175040,1
2154990,1
2154990,2
2154990,4
1580960,1
2889370,1
2889370,4
2270210,1
2270210,2
204450,1
107100,1
1712110,1
1712110,2
1282200,1
1282200,4
2749650,1
2749650,2
2979070,1
2979070,2
2150370,1
2150370,3
514810,1
514810,2
514810,3
1562420,1
1043230,1
1043230,2
894750,1
709840,1
489370,1
489370,2
2180600,1
2180600,2
595560,1
595560,3
713530,1
3351940,1
1415870,1
1415870,2
1597060,1
542170,1
3484860,1
1590020,1
1590020,2
1123790,1
1123790,2
1123790,4
683670,1
2331470,1
1564620,1
2928950,1
2928950,2
2335620,1
1634680,1
1634680,2
1766180,1
1766180,2
2499210,1
2751320,1
3168590,1
3168590,3
3137290,1
3137290,4
2791180,1
2791180,2
1016030,1
3175860,1
914020,1
914020,4
898320,1
1033110,1
1033110,3
1033110,4
1264650,1
301980,1
301980,2
301980,3
2444000,1
2125340,1
2125340,2
2125340,3
3302900,1
642670,1
700010,1
700010,2
2794510,1
461850,1
461850,3
1636370,1
1636370,2
3042470,1
3042470,4
1474860,1
1474860,2
1305440,1
1925040,1
1925040,3
432170,1
432170,4
2830250,1
2432040,1
2432040,2
1374500,1
1374500,2
1851020,1
342870,1
2819170,1
2153880,1
2153880,4
505640,1
496080,1
496080,2
496080,4
357340,1
592340,1
3378300,1
3378300,3
3378300,4
448240,1
3053770,1
3053770,5
862880,1
862880,2
673140,1
1886440,1
1886440,5
1333490,1
1333490,4
1504500,1
1504500,2
1265110,1
1265110,2
1286370,1
2613960,1
1969230,1
415850,1
3197540,1
369180,1
369180,2
1314870,1
1314870,3
2819970,1
2819970,3
2491820,1
544600,1
427770,1
427770,2
427770,3
1298380,1
3116300,1
2233870,1
2233870,3
2191880,1
2191880,3
3270230,1
3270230,3
246360,1
246360,2
246360,4
1365950,1
1365950,2
942530,1
442860,1
442860,2
442860,3
442860,4
803270,1
257990,1
2814060,1
2814060,2
2814060,3
2814060,4
1344530,1
46510,1
46510,2
1284700,1
1284700,4
1284700,5
1554030,1
1554030,2
693830,1
693830,3
2943780,1
2943780,2
2428260,1
2428260,2
1218250,1
1932430,1
