publisher_id,name,country,founding_year,size,is_closed,continent
1,((no-end-parens Studio,USA,2014,indie,False,America
2,(Mark Ainsworth),Russia,2016,mid,False,Europe
3,(주)펀웨이브,Germany,1992,indie,False,Europe
4,.M.Y.W.,Russia,1998,indie,False,Europe
5,.ez Games,Canada,1984,indie,False,America
6,0 Deer Soft,USA,1991,mid,False,America
7,0-Game Studios,Germany,1996,indie,False,Europe
8,072 Project,Japan,1990,mid,False,Asia
9,0Cube,USA,1987,indie,False,America
10,1 Look Games,USA,2001,indie,False,America
11,1 w programmer,USA,2018,indie,False,America
12,10 games studios,Canada,1975,mid,False,America
13,100 Cats,USA,2004,mid,True,America
14,1000-REKA,Australia,2022,indie,False,Oceania
15,10101 Software,USA,1990,indie,False,America
16,101XP,Germany,2017,mid,False,Europe
17,1029studio,Japan,1980,indie,False,Asia
18,1047 Games,Russia,2007,indie,False,Europe
19,10mg,Canada,1995,indie,False,America
20,10tons Ltd,USA,1981,aaa,False,America
21,10x10 Room,UK,1988,indie,False,Europe
22,11 bit studios,Japan,1992,indie,False,Asia
23,11000AD,USA,2021,indie,False,America
24,1122 Industries,Japan,1980,indie,False,Asia
25,11Sheep,Russia,2001,indie,False,Europe
26,1337 Game Design,France,1992,indie,False,Europe
27,160dev,Canada,2001,indie,False,America
28,17-BIT,France,1999,indie,False,Europe
29,1812 Productions,USA,2014,indie,True,America
30,1984pxls,UK,1983,indie,False,Europe
31,1MP,UK,2013,indie,False,Europe
32,1kcal,USA,2016,indie,False,America
33,2 Cubs Studio,USA,1985,indie,False,America
34,2 Devi LLC,Canada,1975,indie,False,America
35,2 Hit Studio,Germany,1986,indie,False,Europe
36,2 Left Thumbs,Sweden,1976,mid,False,Europe
37,2112Games,Poland,2018,indie,False,Europe
38,221GAMES,Germany,1986,indie,False,Europe
39,23:23 Team,USA,1978,indie,False,America
40,2645Interactive,USA,1980,indie,False,America
41,26horses,UK,1994,indie,False,Europe
42,2816292563,Japan,1990,indie,False,Asia
43,29Ninja,Germany,1980,indie,False,Europe
44,29x,Canada,2007,indie,False,America
45,2A T.E.,USA,1994,indie,False,America
46,2Awesome Studio,Poland,1975,mid,False,Europe
47,2Bit Studios,France,1993,indie,False,Europe
48,2Chance Projects,Sweden,2022,indie,False,Europe
49,2D Heroes,USA,2021,indie,False,America
50,2Hyper,Japan,2016,indie,False,Asia
51,2K,UK,1980,aaa,False,Europe
52,2K Games,Russia,2019,indie,False,Europe
53,2KG GAMING,UK,1994,indie,False,Europe
54,2P Games,Poland,2005,mid,False,Europe
55,2Z,USA,1988,indie,False,America
56,2ev1l,USA,2018,mid,False,America
57,2humanstudiowo,USA,2007,indie,False,America
58,2nd Best Games,USA,2001,indie,False,America
59,2ndUp Studios,Germany,1980,indie,False,Europe
60,2nek,Australia,2008,indie,False,Oceania
61,2pt Interactive,UK,1985,indie,False,Europe
62,2tainment GmbH,Japan,2013,indie,False,Asia
63,2xDal,Sweden,2014,indie,False,Europe
64,3 Feet From Gold Games,Germany,1994,indie,False,Europe
65,3 Gnomes Games,Canada,1979,indie,False,America
66,3 Sprockets,Australia,2010,mid,False,Oceania
67,3000AD,UK,2008,mid,False,Europe
68,3000Studio,Australia,1982,indie,False,Oceania
69,333Ba,UK,2014,indie,False,Europe
70,34BigThings srl,Germany,1981,indie,False,Europe
71,3D FACTORY,UK,2011,indie,False,Europe
72,3D Realms,Sweden,1977,mid,False,Europe
73,3DI LLC,Australia,2009,indie,False,Oceania
74,3DIQ,USA,1999,indie,False,America
75,3MA Studios,USA,2013,indie,False,America
76,3Mind Games,USA,1985,indie,False,America
77,3dm_live_wallpapers,France,1998,mid,False,Europe
78,3lb Games,Russia,1990,indie,False,Europe
79,4 Gladiators Studio,Poland,2012,indie,False,Europe
80,430Games,USA,1979,indie,False,America
81,480 Games,USA,1987,indie,False,America
82,"4DAYS LAB Co., Ltd.",Australia,1993,indie,False,Oceania
83,4Divinity,USA,1990,indie,False,America
84,4H StudioLab,Sweden,1997,indie,False,Europe
85,4th Foundation,Poland,1979,indie,False,Europe
86,5 Hours of Sleep,USA,1978,indie,False,America
87,505 Games,USA,2003,mid,False,America
88,5K Gamers,USA,2020,indie,False,America
89,5PM Studio,USA,2022,indie,False,America
90,5minlab Corp.,France,1994,indie,False,Europe
91,5pb,UK,2004,indie,False,Europe
92,616 GAMES,Poland,2002,indie,False,Europe
93,626 Interactive,Russia,1995,indie,False,Europe
94,66games,UK,2010,indie,False,Europe
95,6Zeri,USA,2012,indie,False,America
96,727 Not Hound,UK,2014,indie,False,Europe
97,74games,Germany,1996,indie,False,Europe
98,7DOTS,UK,2018,mid,False,Europe
99,7Games,France,2021,indie,False,Europe
100,7Levels,USA,1981,indie,False,America
101,8BitSkull,Russia,2016,indie,False,Europe
102,8Floor,France,1976,aaa,False,Europe
103,8floor,Russia,2019,aaa,False,Europe
104,90% Studios,France,1985,indie,False,Europe
105,96Brothers,USA,2022,indie,False,America
106,98 INTERACTIVE,Germany,2001,indie,False,Europe
107,9gyar,Sweden,1984,indie,False,Europe
108,A Few Dragons,France,2006,indie,False,Europe
109,A Little More Games,France,1985,indie,False,Europe
110,A Maniacal Game LP,UK,2014,indie,False,Europe
111,A Memory of Eternity,UK,1984,indie,True,Europe
112,A Sweet Studio,USA,1992,indie,False,America
113,A. Hagen,Russia,2020,indie,False,Europe
114,A9,USA,1997,indie,False,America
115,A9019,USA,2015,indie,False,America
